theme_set_id,n,theme_set_dist_1,theme_set_dist_2,theme_set_dist_3,theme_set_dist_4,theme_set_dist_5,theme_set_dist_6
02_15_24,1,"(1, 0, 4)",,,,,
02_15_25,1,"(1, 0, 0)",,,,,
02_15_26,1,"(1, 1, 1)",,,,,
02_16_17,1,"(1, 36, 4)",,,,,
02_16_18,1,"(0, 16, 0)",,,,,
02_16_19,1,"(0, 16, 4)",,,,,
02_16_20,1,"(1, 16, 1)",,,,,
02_16_21,1,"(1, 9, 9)",,,,,
02_16_22,2,"(4, 9, 4)","(1, 16, 4)",,,,
02_16_23,1,"(0, 16, 0)",,,,,
02_16_24,1,"(1, 16, 4)",,,,,
02_16_25,1,"(1, 16, 0)",,,,,
02_16_26,1,"(4, 16, 0)",,,,,
02_17_18,1,"(0, 16, 0)",,,,,
02_17_19,1,"(9, 1, 1)",,,,,
02_17_20,1,"(4, 4, 1)",,,,,
02_17_21,1,"(1, 16, 9)",,,,,
02_17_22,1,"(1, 4, 4)",,,,,
02_17_23,1,"(0, 16, 0)",,,,,
02_17_24,1,"(9, 4, 1)",,,,,
02_17_25,2,"(1, 16, 0)","(1, 4, 1)",,,,
02_17_26,1,"(1, 4, 1)",,,,,
02_18_19,1,"(0, 0, 4)",,,,,
02_18_20,1,"(0, 1, 1)",,,,,
02_18_21,1,"(0, 0, 16)",,,,,
02_18_22,1,"(0, 0, 9)",,,,,
02_18_23,1,"(0, 0, 0)",,,,,
02_18_24,1,"(1, 1, 1)",,,,,
02_18_25,1,"(1, 1, 0)",,,,,
02_18_26,1,"(0, 0, 4)",,,,,
02_19_20,1,"(0, 4, 1)",,,,,
02_19_21,1,"(0, 4, 16)",,,,,
02_19_22,1,"(1, 4, 4)",,,,,
02_19_23,1,"(0, 4, 0)",,,,,
02_19_24,1,"(1, 9, 1)",,,,,
02_19_25,1,"(1, 4, 1)",,,,,
02_19_26,1,"(1, 4, 1)",,,,,
02_20_21,1,"(1, 1, 9)",,,,,
02_20_22,1,"(4, 1, 0)",,,,,
02_20_23,1,"(0, 1, 0)",,,,,
02_20_24,1,"(1, 1, 4)",,,,,
02_20_25,1,"(1, 1, 0)",,,,,
02_20_26,1,"(1, 1, 1)",,,,,
02_21_22,1,"(4, 4, 0)",,,,,
02_21_23,1,"(0, 16, 0)",,,,,
02_21_24,1,"(4, 4, 1)",,,,,
02_21_25,1,"(1, 9, 0)",,,,,
02_21_26,1,"(4, 4, 0)",,,,,
02_22_23,1,"(0, 9, 0)",,,,,
02_22_24,2,"(4, 4, 1)","(1, 4, 4)",,,,
02_22_25,1,"(1, 1, 0)",,,,,
02_22_26,1,"(4, 0, 0)",,,,,
02_23_24,1,"(0, 0, 9)",,,,,
02_23_25,1,"(0, 0, 4)",,,,,
02_23_26,1,"(0, 0, 4)",,,,,
02_24_25,1,"(4, 1, 0)",,,,,
02_24_26,1,"(1, 1, 4)",,,,,
02_25_26,1,"(1, 0, 1)",,,,,
03_04_05,1,"(0, 0, 0)",,,,,
03_04_06,1,"(0, 0, 9)",,,,,
03_04_07,1,"(0, 0, 1)",,,,,
03_04_08,1,"(1, 0, 1)",,,,,
03_04_09,2,"(1, 0, 1)","(0, 0, 4)",,,,
03_04_10,1,"(0, 0, 1)",,,,,
03_04_11,1,"(0, 0, 0)",,,,,
03_04_12,1,"(0, 0, 0)",,,,,
03_04_13,2,"(1, 0, 0)","(0, 0, 1)",,,,
03_04_14,1,"(1, 0, 1)",,,,,
03_04_15,1,"(1, 0, 1)",,,,,
03_04_16,1,"(0, 0, 0)",,,,,
03_04_17,1,"(1, 0, 1)",,,,,
03_04_18,1,"(1, 0, 1)",,,,,
03_04_19,1,"(1, 0, 1)",,,,,
03_04_20,1,"(1, 0, 1)",,,,,
03_04_21,1,"(0, 0, 0)",,,,,
03_04_22,2,"(1, 0, 4)","(0, 0, 9)",,,,
03_04_23,2,"(1, 0, 0)","(0, 0, 1)",,,,
03_04_24,1,"(0, 0, 1)",,,,,
03_04_25,1,"(1, 0, 0)",,,,,
03_04_26,1,"(1, 0, 1)",,,,,
03_05_06,1,"(0, 0, 9)",,,,,
03_05_07,1,"(1, 1, 0)",,,,,
03_05_08,1,"(1, 0, 1)",,,,,
03_05_09,1,"(1, 0, 4)",,,,,
03_05_10,1,"(1, 1, 1)",,,,,
03_05_11,1,"(0, 9, 1)",,,,,
03_05_12,1,"(0, 0, 1)",,,,,
03_05_13,1,"(0, 1, 4)",,,,,
03_05_14,1,"(1, 0, 1)",,,,,
03_05_15,1,"(1, 0, 1)",,,,,
03_05_16,1,"(0, 0, 1)",,,,,
03_05_17,1,"(1, 4, 1)",,,,,
03_05_18,1,"(1, 1, 1)",,,,,
03_05_19,1,"(1, 0, 1)",,,,,
03_05_20,1,"(1, 0, 1)",,,,,
03_05_21,1,"(0, 1, 0)",,,,,
03_05_22,1,"(1, 1, 9)",,,,,
03_05_23,1,"(1, 0, 0)",,,,,
03_05_24,1,"(1, 4, 1)",,,,,
03_05_25,1,"(1, 4, 0)",,,,,
03_05_26,1,"(1, 1, 4)",,,,,
03_06_07,1,"(1, 4, 0)",,,,,
03_06_08,1,"(1, 4, 1)",,,,,
03_06_09,1,"(4, 1, 1)",,,,,
03_06_10,1,"(4, 1, 0)",,,,,
03_06_11,1,"(0, 36, 0)",,,,,
03_06_12,1,"(0, 25, 0)",,,,,
03_06_13,1,"(1, 4, 0)",,,,,
03_06_14,1,"(4, 1, 0)",,,,,
03_06_15,1,"(1, 4, 1)",,,,,
03_06_16,1,"(0, 9, 1)",,,,,
03_06_17,1,"(1, 9, 1)",,,,,
03_06_18,1,"(4, 1, 1)",,,,,
03_06_19,1,"(1, 4, 1)",,,,,
03_06_20,1,"(1, 4, 1)",,,,,
03_06_21,1,"(0, 9, 1)",,,,,
03_06_22,1,"(4, 4, 4)",,,,,
03_06_23,1,"(1, 4, 0)",,,,,
03_06_24,1,"(1, 9, 1)",,,,,
03_06_25,1,"(1, 9, 0)",,,,,
03_06_26,1,"(4, 16, 1)",,,,,
03_07_08,1,"(1, 0, 9)",,,,,
03_07_09,2,"(1, 1, 4)","(1, 4, 1)",,,,
03_07_10,1,"(1, 0, 1)",,,,,
03_07_11,1,"(1, 1, 0)",,,,,
03_07_12,1,"(0, 1, 0)",,,,,
03_07_13,1,"(1, 4, 0)",,,,,
03_07_14,1,"(1, 4, 1)",,,,,
03_07_15,1,"(1, 0, 1)",,,,,
03_07_16,1,"(1, 0, 4)",,,,,
03_07_17,1,"(1, 1, 1)",,,,,
03_07_18,2,"(4, 0, 1)","(1, 1, 1)",,,,
03_07_19,1,"(1, 0, 1)",,,,,
03_07_20,1,"(1, 1, 1)",,,,,
03_07_21,1,"(0, 1, 4)",,,,,
03_07_22,1,"(1, 9, 9)",,,,,
03_07_23,1,"(1, 0, 0)",,,,,
03_07_24,1,"(1, 9, 1)",,,,,
03_07_25,1,"(4, 4, 0)",,,,,
03_07_26,1,"(4, 4, 1)",,,,,
03_08_09,1,"(0, 36, 9)",,,,,
03_08_10,1,"(1, 1, 1)",,,,,
03_08_11,1,"(1, 49, 0)",,,,,
03_08_12,1,"(0, 36, 0)",,,,,
03_08_13,1,"(1, 1, 1)",,,,,
03_08_14,1,"(1, 36, 4)",,,,,
03_08_15,1,"(1, 9, 1)",,,,,
03_08_16,1,"(1, 1, 1)",,,,,
03_08_17,1,"(1, 25, 1)",,,,,
03_08_18,1,"(1, 9, 1)",,,,,
03_08_19,1,"(4, 0, 0)",,,,,
03_08_20,1,"(1, 36, 4)",,,,,
03_08_21,1,"(0, 25, 4)",,,,,
03_08_22,1,"(1, 36, 9)",,,,,
03_08_23,1,"(1, 1, 0)",,,,,
03_08_24,1,"(1, 36, 1)",,,,,
03_08_25,1,"(1, 36, 1)",,,,,
03_08_26,1,"(1, 36, 1)",,,,,
03_09_10,1,"(1, 1, 1)",,,,,
03_09_11,1,"(1, 1, 0)",,,,,
03_09_12,1,"(0, 4, 0)",,,,,
03_09_13,1,"(1, 1, 1)",,,,,
03_09_14,1,"(1, 1, 1)",,,,,
03_09_15,1,"(1, 1, 1)",,,,,
03_09_16,1,"(0, 4, 4)",,,,,
03_09_17,1,"(1, 4, 4)",,,,,
03_09_18,2,"(4, 1, 4)","(4, 4, 1)",,,,
03_09_19,1,"(4, 4, 1)",,,,,
03_09_20,1,"(4, 1, 1)",,,,,
03_09_21,1,"(1, 1, 1)",,,,,
03_09_22,1,"(1, 1, 4)",,,,,
03_09_23,1,"(1, 4, 1)",,,,,
03_09_24,1,"(1, 1, 0)",,,,,
03_09_25,1,"(1, 1, 0)",,,,,
03_09_26,1,"(4, 1, 1)",,,,,
03_10_11,2,"(0, 9, 0)","(0, 4, 1)",,,,
03_10_12,1,"(0, 1, 1)",,,,,
03_10_13,1,"(0, 1, 1)",,,,,
03_10_14,1,"(1, 1, 1)",,,,,
03_10_15,3,"(0, 9, 4)","(0, 4, 9)","(0, 1, 16)",,,
03_10_16,1,"(0, 4, 0)",,,,,
03_10_17,1,"(1, 4, 1)",,,,,
03_10_18,1,"(1, 1, 1)",,,,,
03_10_19,1,"(1, 1, 1)",,,,,
03_10_20,1,"(1, 1, 1)",,,,,
03_10_21,1,"(0, 1, 0)",,,,,
03_10_22,1,"(1, 1, 9)",,,,,
03_10_23,1,"(1, 1, 0)",,,,,
03_10_24,1,"(0, 4, 1)",,,,,
03_10_25,2,"(4, 1, 0)","(1, 4, 0)",,,,
03_10_26,2,"(4, 1, 1)","(1, 4, 1)",,,,
03_11_12,1,"(0, 0, 0)",,,,,
03_11_13,1,"(0, 0, 4)",,,,,
03_11_14,1,"(1, 0, 1)",,,,,
03_11_15,1,"(1, 0, 1)",,,,,
03_11_16,1,"(0, 0, 16)",,,,,
03_11_17,1,"(1, 0, 1)",,,,,
03_11_18,1,"(1, 0, 1)",,,,,
03_11_19,1,"(1, 0, 1)",,,,,
03_11_20,1,"(0, 0, 4)",,,,,
03_11_21,1,"(0, 0, 1)",,,,,
03_11_22,1,"(1, 0, 4)",,,,,
03_11_23,1,"(1, 0, 1)",,,,,
03_11_24,1,"(0, 0, 1)",,,,,
03_11_25,1,"(1, 0, 0)",,,,,
03_11_26,1,"(1, 0, 1)",,,,,
03_12_13,1,"(0, 0, 1)",,,,,
03_12_14,1,"(0, 0, 4)",,,,,
03_12_15,1,"(0, 0, 4)",,,,,
03_12_16,1,"(0, 0, 4)",,,,,
03_12_17,1,"(1, 1, 1)",,,,,
03_12_18,1,"(0, 0, 4)",,,,,
03_12_19,1,"(0, 0, 4)",,,,,
03_12_20,1,"(0, 0, 4)",,,,,
03_12_21,1,"(0, 0, 1)",,,,,
03_12_22,1,"(0, 0, 9)",,,,,
03_12_23,1,"(0, 0, 1)",,,,,
03_12_24,1,"(0, 0, 1)",,,,,
03_12_25,1,"(0, 0, 1)",,,,,
03_12_26,1,"(0, 0, 4)",,,,,
03_13_14,1,"(1, 1, 1)",,,,,
03_13_15,1,"(0, 4, 4)",,,,,
03_13_16,1,"(1, 1, 1)",,,,,
03_13_17,1,"(1, 1, 9)",,,,,
03_13_18,1,"(1, 1, 1)",,,,,
03_13_19,1,"(1, 1, 1)",,,,,
03_13_20,2,"(1, 0, 4)","(0, 1, 4)",,,,
03_13_21,1,"(0, 1, 0)",,,,,
03_13_22,2,"(1, 1, 4)","(0, 1, 9)",,,,
03_13_23,2,"(1, 0, 1)","(0, 1, 1)",,,,
03_13_24,1,"(0, 1, 1)",,,,,
03_13_25,1,"(1, 1, 0)",,,,,
03_13_26,1,"(1, 1, 1)",,,,,
03_14_15,1,"(1, 1, 1)",,,,,
03_14_16,1,"(0, 4, 1)",,,,,
03_14_17,1,"(4, 1, 4)",,,,,
03_14_18,1,"(4, 1, 4)",,,,,
03_14_19,2,"(4, 1, 4)","(4, 4, 1)",,,,
03_14_20,1,"(4, 1, 1)",,,,,
03_14_21,1,"(1, 1, 0)",,,,,
03_14_22,1,"(4, 0, 1)",,,,,
03_14_23,3,"(4, 1, 1)","(1, 1, 4)","(1, 4, 1)",,,
03_14_24,1,"(1, 1, 0)",,,,,
03_14_25,1,"(1, 1, 0)",,,,,
03_14_26,1,"(4, 0, 1)",,,,,
03_15_16,1,"(1, 1, 0)",,,,,
03_15_17,1,"(1, 1, 4)",,,,,
03_15_18,1,"(9, 0, 0)",,,,,
03_15_19,1,"(1, 1, 1)",,,,,
03_15_20,1,"(1, 1, 1)",,,,,
03_15_21,1,"(0, 4, 0)",,,,,
03_15_22,1,"(4, 1, 1)",,,,,
03_15_23,1,"(1, 1, 0)",,,,,
03_15_24,1,"(1, 1, 1)",,,,,
03_15_25,2,"(4, 1, 0)","(1, 4, 0)",,,,
03_15_26,1,"(1, 4, 1)",,,,,
03_16_17,1,"(1, 4, 4)",,,,,
03_16_18,1,"(0, 1, 4)",,,,,
03_16_19,1,"(1, 1, 1)",,,,,
03_16_20,1,"(0, 1, 4)",,,,,
03_16_21,1,"(0, 0, 1)",,,,,
03_16_22,1,"(1, 4, 4)",,,,,
03_16_23,1,"(0, 1, 1)",,,,,
03_16_24,1,"(1, 1, 1)",,,,,
03_16_25,1,"(0, 4, 1)",,,,,
03_16_26,1,"(1, 4, 1)",,,,,
03_17_18,1,"(1, 1, 1)",,,,,
03_17_19,1,"(4, 0, 0)",,,,,
03_17_20,1,"(1, 4, 4)",,,,,
03_17_21,1,"(1, 4, 4)",,,,,
03_17_22,1,"(1, 4, 9)",,,,,
03_17_23,1,"(1, 1, 1)",,,,,
03_17_24,1,"(1, 4, 1)",,,,,
03_17_25,1,"(4, 4, 0)",,,,,
03_17_26,1,"(1, 4, 1)",,,,,
03_18_19,1,"(1, 1, 1)",,,,,
03_18_20,1,"(4, 4, 1)",,,,,
03_18_21,1,"(0, 4, 4)",,,,,
03_18_22,2,"(4, 1, 9)","(1, 1, 16)",,,,
03_18_23,1,"(4, 1, 0)",,,,,
03_18_24,1,"(1, 1, 4)",,,,,
03_18_25,1,"(4, 4, 0)",,,,,
03_18_26,2,"(1, 4, 1)","(1, 1, 4)",,,,
03_19_20,1,"(1, 4, 4)",,,,,
03_19_21,1,"(0, 4, 4)",,,,,
03_19_22,1,"(1, 1, 16)",,,,,
03_19_23,1,"(1, 1, 0)",,,,,
03_19_24,1,"(1, 1, 4)",,,,,
03_19_25,1,"(4, 4, 0)",,,,,
03_19_26,2,"(4, 1, 1)","(1, 4, 1)",,,,
03_20_21,1,"(1, 1, 4)",,,,,
03_20_22,1,"(4, 1, 4)",,,,,
03_20_23,1,"(1, 1, 1)",,,,,
03_20_24,1,"(1, 1, 1)",,,,,
03_20_25,1,"(4, 1, 0)",,,,,
03_20_26,1,"(4, 1, 1)",,,,,
03_21_22,1,"(1, 0, 4)",,,,,
03_21_23,1,"(0, 4, 1)",,,,,
03_21_24,1,"(0, 0, 1)",,,,,
03_21_25,1,"(1, 0, 0)",,,,,
03_21_26,1,"(0, 0, 4)",,,,,
03_22_23,2,"(4, 16, 1)","(1, 16, 4)",,,,
03_22_24,1,"(1, 4, 0)",,,,,
03_22_25,1,"(1, 4, 0)",,,,,
03_22_26,1,"(4, 1, 0)",,,,,
03_23_24,1,"(1, 1, 9)",,,,,
03_23_25,3,"(4, 1, 1)","(4, 4, 0)","(1, 4, 1)",,,
03_23_26,2,"(4, 1, 4)","(4, 4, 1)",,,,
03_24_25,1,"(1, 0, 0)",,,,,
03_24_26,1,"(1, 0, 1)",,,,,
03_25_26,1,"(4, 0, 1)",,,,,
04_05_06,1,"(0, 0, 0)",,,,,
04_05_07,1,"(0, 0, 0)",,,,,
04_05_08,1,"(0, 0, 0)",,,,,
04_05_09,1,"(0, 0, 1)",,,,,
04_05_10,1,"(0, 1, 1)",,,,,
04_05_11,1,"(0, 16, 0)",,,,,
04_05_12,1,"(0, 0, 1)",,,,,
04_05_13,1,"(0, 4, 1)",,,,,
04_05_14,1,"(0, 0, 0)",,,,,
04_05_15,1,"(0, 0, 0)",,,,,
04_05_16,1,"(0, 0, 0)",,,,,
04_05_17,1,"(0, 4, 0)",,,,,
04_05_18,1,"(0, 0, 0)",,,,,
04_05_19,1,"(0, 0, 0)",,,,,
04_05_20,1,"(0, 1, 0)",,,,,
04_05_21,1,"(0, 1, 0)",,,,,
04_05_22,1,"(0, 0, 1)",,,,,
04_05_23,1,"(0, 0, 0)",,,,,
04_05_24,1,"(0, 4, 1)",,,,,
04_05_25,1,"(0, 4, 0)",,,,,
04_05_26,2,"(0, 0, 1)","(0, 4, 0)",,,,
04_06_07,1,"(0, 0, 0)",,,,,
04_06_08,3,"(0, 1, 9)","(0, 0, 25)","(0, 4, 1)",,,
04_06_09,1,"(0, 1, 1)",,,,,
04_06_10,1,"(0, 1, 0)",,,,,
04_06_11,1,"(0, 9, 0)",,,,,
04_06_12,1,"(0, 9, 1)",,,,,
04_06_13,2,"(0, 0, 1)","(0, 4, 0)",,,,
04_06_14,1,"(0, 1, 0)",,,,,
04_06_15,1,"(0, 1, 1)",,,,,
04_06_16,1,"(0, 4, 1)",,,,,
04_06_17,1,"(0, 9, 0)",,,,,
04_06_18,2,"(0, 0, 1)","(0, 4, 0)",,,,
04_06_19,1,"(0, 4, 0)",,,,,
04_06_20,1,"(0, 4, 0)",,,,,
04_06_21,1,"(0, 1, 1)",,,,,
04_06_22,1,"(0, 1, 4)",,,,,
04_06_23,1,"(0, 0, 0)",,,,,
04_06_24,2,"(0, 1, 4)","(0, 9, 1)",,,,
04_06_25,1,"(0, 1, 0)",,,,,
04_06_26,1,"(0, 9, 1)",,,,,
04_07_08,1,"(0, 0, 4)",,,,,
04_07_09,1,"(0, 1, 1)",,,,,
04_07_10,1,"(0, 0, 1)",,,,,
04_07_11,1,"(0, 1, 0)",,,,,
04_07_12,2,"(0, 1, 0)","(0, 0, 1)",,,,
04_07_13,1,"(0, 0, 1)",,,,,
04_07_14,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_07_15,1,"(0, 0, 0)",,,,,
04_07_16,1,"(0, 0, 4)",,,,,
04_07_17,1,"(0, 0, 4)",,,,,
04_07_18,1,"(0, 0, 0)",,,,,
04_07_19,1,"(0, 0, 0)",,,,,
04_07_20,1,"(0, 0, 1)",,,,,
04_07_21,1,"(0, 0, 9)",,,,,
04_07_22,1,"(0, 1, 4)",,,,,
04_07_23,1,"(0, 0, 0)",,,,,
04_07_24,2,"(0, 1, 4)","(0, 4, 1)",,,,
04_07_25,1,"(0, 4, 0)",,,,,
04_07_26,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_08_09,1,"(0, 100, 1)",,,,,
04_08_10,1,"(0, 4, 0)",,,,,
04_08_11,1,"(0, 49, 0)",,,,,
04_08_12,1,"(0, 36, 0)",,,,,
04_08_13,1,"(0, 0, 1)",,,,,
04_08_14,2,"(0, 100, 0)","(0, 49, 1)",,,,
04_08_15,1,"(0, 0, 1)",,,,,
04_08_16,1,"(0, 1, 1)",,,,,
04_08_17,1,"(0, 25, 0)",,,,,
04_08_18,1,"(0, 4, 0)",,,,,
04_08_19,1,"(0, 0, 0)",,,,,
04_08_20,1,"(0, 100, 1)",,,,,
04_08_21,1,"(0, 16, 4)",,,,,
04_08_22,1,"(0, 49, 1)",,,,,
04_08_23,1,"(0, 0, 0)",,,,,
04_08_24,1,"(0, 25, 1)",,,,,
04_08_25,1,"(0, 49, 0)",,,,,
04_08_26,1,"(0, 25, 0)",,,,,
04_09_10,1,"(0, 1, 1)",,,,,
04_09_11,1,"(0, 0, 0)",,,,,
04_09_12,1,"(0, 1, 1)",,,,,
04_09_13,1,"(0, 0, 1)",,,,,
04_09_14,1,"(0, 0, 0)",,,,,
04_09_15,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_09_16,1,"(0, 1, 9)",,,,,
04_09_17,2,"(0, 1, 1)","(0, 0, 4)",,,,
04_09_18,1,"(0, 1, 1)",,,,,
04_09_19,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_09_20,2,"(0, 0, 1)","(0, 1, 0)",,,,
04_09_21,1,"(0, 0, 1)",,,,,
04_09_22,1,"(0, 0, 0)",,,,,
04_09_23,2,"(0, 4, 0)","(0, 1, 1)",,,,
04_09_24,1,"(0, 1, 0)",,,,,
04_09_25,1,"(0, 0, 0)",,,,,
04_09_26,1,"(0, 0, 0)",,,,,
04_10_11,1,"(0, 4, 0)",,,,,
04_10_12,1,"(0, 1, 1)",,,,,
04_10_13,1,"(0, 0, 1)",,,,,
04_10_14,1,"(0, 1, 0)",,,,,
04_10_15,6,"(0, 4, 9)","(0, 16, 1)","(0, 9, 4)","(0, 25, 0)","(0, 1, 16)","(0, 0, 25)"
04_10_16,1,"(0, 1, 1)",,,,,
04_10_17,1,"(0, 4, 0)",,,,,
04_10_18,1,"(0, 1, 0)",,,,,
04_10_19,1,"(0, 1, 0)",,,,,
04_10_20,1,"(0, 1, 0)",,,,,
04_10_21,1,"(0, 0, 1)",,,,,
04_10_22,1,"(0, 1, 1)",,,,,
04_10_23,1,"(0, 0, 0)",,,,,
04_10_24,1,"(0, 1, 1)",,,,,
04_10_25,1,"(0, 1, 0)",,,,,
04_10_26,2,"(0, 4, 0)","(0, 1, 1)",,,,
04_11_12,1,"(0, 0, 0)",,,,,
04_11_13,2,"(0, 1, 1)","(0, 0, 4)",,,,
04_11_14,1,"(0, 0, 0)",,,,,
04_11_15,1,"(0, 0, 0)",,,,,
04_11_16,1,"(0, 0, 9)",,,,,
04_11_17,1,"(0, 0, 0)",,,,,
04_11_18,1,"(0, 0, 0)",,,,,
04_11_19,1,"(0, 0, 0)",,,,,
04_11_20,1,"(0, 0, 1)",,,,,
04_11_21,1,"(0, 0, 1)",,,,,
04_11_22,1,"(0, 0, 0)",,,,,
04_11_23,1,"(0, 0, 1)",,,,,
04_11_24,1,"(0, 0, 0)",,,,,
04_11_25,1,"(0, 0, 0)",,,,,
04_11_26,1,"(0, 0, 0)",,,,,
04_12_13,1,"(0, 0, 1)",,,,,
04_12_14,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_12_15,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_12_16,2,"(0, 1, 0)","(0, 0, 4)",,,,
04_12_17,1,"(0, 1, 1)",,,,,
04_12_18,1,"(0, 1, 1)",,,,,
04_12_19,2,"(0, 1, 1)","(0, 4, 0)",,,,
04_12_20,1,"(0, 1, 1)",,,,,
04_12_21,1,"(0, 0, 1)",,,,,
04_12_22,1,"(0, 1, 4)",,,,,
04_12_23,1,"(0, 1, 0)",,,,,
04_12_24,1,"(0, 0, 1)",,,,,
04_12_25,1,"(0, 1, 0)",,,,,
04_12_26,1,"(0, 1, 1)",,,,,
04_13_14,1,"(0, 0, 1)",,,,,
04_13_15,2,"(0, 1, 9)","(0, 4, 4)",,,,
04_13_16,1,"(0, 1, 1)",,,,,
04_13_17,1,"(0, 4, 0)",,,,,
04_13_18,1,"(0, 1, 0)",,,,,
04_13_19,1,"(0, 1, 0)",,,,,
04_13_20,1,"(0, 1, 1)",,,,,
04_13_21,1,"(0, 0, 1)",,,,,
04_13_22,1,"(0, 1, 0)",,,,,
04_13_23,2,"(0, 1, 0)","(0, 0, 1)",,,,
04_13_24,2,"(0, 1, 1)","(0, 0, 4)",,,,
04_13_25,1,"(0, 1, 0)",,,,,
04_13_26,1,"(0, 1, 0)",,,,,
04_14_15,1,"(0, 1, 1)",,,,,
04_14_16,1,"(0, 0, 9)",,,,,
04_14_17,1,"(0, 0, 4)",,,,,
04_14_18,2,"(0, 0, 4)","(0, 1, 1)",,,,
04_14_19,1,"(0, 1, 1)",,,,,
04_14_20,2,"(0, 0, 1)","(0, 1, 0)",,,,
04_14_21,1,"(0, 0, 0)",,,,,
04_14_22,1,"(0, 0, 0)",,,,,
04_14_23,1,"(0, 1, 1)",,,,,
04_14_24,2,"(0, 1, 0)","(0, 0, 1)",,,,
04_14_25,1,"(0, 0, 0)",,,,,
04_14_26,1,"(0, 0, 0)",,,,,
04_15_16,1,"(0, 1, 0)",,,,,
04_15_17,1,"(0, 0, 1)",,,,,
04_15_18,1,"(0, 0, 0)",,,,,
04_15_19,1,"(0, 0, 0)",,,,,
04_15_20,1,"(0, 0, 1)",,,,,
04_15_21,1,"(0, 0, 4)",,,,,
04_15_22,1,"(0, 0, 1)",,,,,
04_15_23,1,"(0, 0, 0)",,,,,
04_15_24,1,"(0, 1, 1)",,,,,
04_15_25,1,"(0, 0, 0)",,,,,
04_15_26,2,"(0, 1, 0)","(0, 0, 1)",,,,
04_16_17,2,"(0, 9, 1)","(0, 4, 4)",,,,
04_16_18,1,"(0, 9, 0)",,,,,
04_16_19,1,"(0, 4, 0)",,,,,
04_16_20,1,"(0, 9, 1)",,,,,
04_16_21,1,"(0, 0, 1)",,,,,
04_16_22,2,"(0, 9, 1)","(0, 4, 4)",,,,
04_16_23,1,"(0, 1, 0)",,,,,
04_16_24,1,"(0, 1, 1)",,,,,
04_16_25,1,"(0, 4, 0)",,,,,
04_16_26,1,"(0, 9, 0)",,,,,
04_17_18,1,"(0, 0, 0)",,,,,
04_17_19,1,"(0, 0, 0)",,,,,
04_17_20,1,"(0, 4, 1)",,,,,
04_17_21,1,"(0, 1, 9)",,,,,
04_17_22,2,"(0, 4, 0)","(0, 1, 1)",,,,
04_17_23,1,"(0, 0, 1)",,,,,
04_17_24,1,"(0, 1, 1)",,,,,
04_17_25,1,"(0, 1, 0)",,,,,
04_17_26,1,"(0, 1, 0)",,,,,
04_18_19,1,"(0, 0, 0)",,,,,
04_18_20,1,"(0, 1, 1)",,,,,
04_18_21,1,"(0, 0, 16)",,,,,
04_18_22,2,"(0, 1, 1)","(0, 0, 4)",,,,
04_18_23,1,"(0, 0, 0)",,,,,
04_18_24,1,"(0, 1, 1)",,,,,
04_18_25,1,"(0, 1, 0)",,,,,
04_18_26,2,"(0, 1, 0)","(0, 0, 1)",,,,
