theme_set_id,n,theme_set_pnt_1,theme_set_pnt_2,theme_set_pnt_3,theme_set_pnt_4,theme_set_pnt_5,theme_set_pnt_6
01_02_03,1,"[3, 3, 3]",,,,,
01_02_04,1,"[4, 3, 0]",,,,,
01_02_05,2,"[2, 4, 11]","[3, 3, 11]",,,,
01_02_06,1,"[3, 3, 9]",,,,,
01_02_07,2,"[2, 4, 6]","[3, 3, 6]",,,,
01_02_08,1,"[3, 4, 4]",,,,,
01_02_09,1,"[4, 3, 4]",,,,,
01_02_10,1,"[4, 3, 4]",,,,,
01_02_11,1,"[4, 2, 3]",,,,,
01_02_12,1,"[4, 3, 3]",,,,,
01_02_13,1,"[4, 3, 2]",,,,,
01_02_14,1,"[4, 3, 3]",,,,,
01_02_15,1,"[4, 3, -2]",,,,,
01_02_16,1,"[3, 3, 3]",,,,,
01_02_17,1,"[3, 3, 2]",,,,,
01_02_18,1,"[3, 4, 4]",,,,,
01_02_19,1,"[3, 4, 2]",,,,,
01_02_20,1,"[4, 2, 3]",,,,,
01_02_21,1,"[4, 3, 5]",,,,,
01_02_22,1,"[4, 3, 5]",,,,,
01_02_23,1,"[3, 4, 5]",,,,,
01_02_24,1,"[4, 3, 3]",,,,,
01_02_25,1,"[4, 3, 3]",,,,,
01_02_26,1,"[4, 3, 3]",,,,,
01_03_04,1,"[3, 4, 0]",,,,,
01_03_05,1,"[1, 5, 11]",,,,,
01_03_06,1,"[2, 4, 9]",,,,,
01_03_07,1,"[3, 4, 5]",,,,,
01_03_08,1,"[1, 5, 10]",,,,,
01_03_09,1,"[3, 3, 4]",,,,,
01_03_10,1,"[3, 4, 5]",,,,,
01_03_11,1,"[3, 4, 3]",,,,,
01_03_12,1,"[2, 5, 6]",,,,,
01_03_13,1,"[3, 4, 4]",,,,,
01_03_14,1,"[3, 3, 3]",,,,,
01_03_15,2,"[3, 3, -1]","[3, 4, -2]",,,,
01_03_16,1,"[1, 5, 6]",,,,,
01_03_17,1,"[2, 4, 4]",,,,,
01_03_18,1,"[3, 3, 3]",,,,,
01_03_19,1,"[2, 4, 2]",,,,,
01_03_20,1,"[4, 1, 3]",,,,,
01_03_21,1,"[2, 5, 7]",,,,,
01_03_22,1,"[3, 2, 5]",,,,,
01_03_23,1,"[3, 4, 4]",,,,,
01_03_24,1,"[3, 4, 4]",,,,,
01_03_25,1,"[3, 3, 3]",,,,,
01_03_26,1,"[3, 2, 4]",,,,,
01_04_05,1,"[3, 0, 11]",,,,,
01_04_06,1,"[3, 0, 9]",,,,,
01_04_07,1,"[3, 0, 6]",,,,,
01_04_08,2,"[1, 0, 16]","[2, 0, 9]",,,,
01_04_09,1,"[3, 0, 5]",,,,,
01_04_10,1,"[3, 0, 5]",,,,,
01_04_11,1,"[4, 0, 3]",,,,,
01_04_12,1,"[3, 0, 5]",,,,,
01_04_13,1,"[4, 0, 4]",,,,,
01_04_14,1,"[3, 0, 4]",,,,,
01_04_15,1,"[3, 0, -1]",,,,,
01_04_16,1,"[2, 0, 5]",,,,,
01_04_17,1,"[3, 0, 4]",,,,,
01_04_18,1,"[3, 0, 4]",,,,,
01_04_19,2,"[2, 0, 3]","[3, 0, 2]",,,,
01_04_20,1,"[4, 0, 3]",,,,,
01_04_21,1,"[4, 0, 5]",,,,,
01_04_22,1,"[4, 0, 5]",,,,,
01_04_23,2,"[3, 0, 5]","[4, 0, 4]",,,,
01_04_24,1,"[3, 0, 4]",,,,,
01_04_25,1,"[4, 0, 3]",,,,,
01_04_26,1,"[3, 0, 4]",,,,,
01_05_06,1,"[2, 11, 11]",,,,,
01_05_07,1,"[2, 11, 6]",,,,,
01_05_08,1,"[0, 11, 20]",,,,,
01_05_09,1,"[3, 8, 5]",,,,,
01_05_10,1,"[3, 8, 5]",,,,,
01_05_11,1,"[4, 7, 3]",,,,,
01_05_12,1,"[3, 10, 5]",,,,,
01_05_13,1,"[4, 3, 4]",,,,,
01_05_14,1,"[2, 11, 4]",,,,,
01_05_15,1,"[2, 11, -1]",,,,,
01_05_16,1,"[1, 11, 6]",,,,,
01_05_17,1,"[3, 11, 0]",,,,,
01_05_18,1,"[2, 11, 4]",,,,,
01_05_19,1,"[0, 11, 4]",,,,,
01_05_20,1,"[3, 10, 3]",,,,,
01_05_21,1,"[3, 11, 6]",,,,,
01_05_22,1,"[4, 8, 5]",,,,,
01_05_23,1,"[3, 10, 5]",,,,,
01_05_24,1,"[3, 8, 4]",,,,,
01_05_25,1,"[4, 8, 3]",,,,,
01_05_26,1,"[3, 8, 4]",,,,,
01_06_07,1,"[2, 11, 6]",,,,,
01_06_08,1,"[2, 11, 4]",,,,,
01_06_09,1,"[3, 9, 4]",,,,,
01_06_10,1,"[2, 10, 6]",,,,,
01_06_11,1,"[3, 8, 3]",,,,,
01_06_12,1,"[3, 7, 5]",,,,,
01_06_13,1,"[2, 11, 4]",,,,,
01_06_14,1,"[3, 9, 3]",,,,,
01_06_15,1,"[3, 8, -1]",,,,,
01_06_16,1,"[2, 11, 4]",,,,,
01_06_17,1,"[2, 8, 4]",,,,,
01_06_18,1,"[3, 9, 3]",,,,,
01_06_19,1,"[2, 9, 2]",,,,,
01_06_20,1,"[3, 9, 3]",,,,,
01_06_21,1,"[2, 11, 7]",,,,,
01_06_22,1,"[3, 8, 5]",,,,,
01_06_23,1,"[2, 11, 5]",,,,,
01_06_24,1,"[3, 9, 3]",,,,,
01_06_25,2,"[2, 10, 3]","[3, 8, 3]",,,,
01_06_26,1,"[3, 8, 3]",,,,,
01_07_08,1,"[1, 6, 12]",,,,,
01_07_09,1,"[4, 5, 4]",,,,,
01_07_10,1,"[2, 6, 5]",,,,,
01_07_11,1,"[3, 5, 3]",,,,,
01_07_12,1,"[3, 5, 5]",,,,,
01_07_13,1,"[2, 6, 4]",,,,,
01_07_14,1,"[4, 5, 3]",,,,,
01_07_15,1,"[2, 6, -1]",,,,,
01_07_16,1,"[3, 6, 2]",,,,,
01_07_17,1,"[3, 6, 2]",,,,,
01_07_18,1,"[3, 6, 3]",,,,,
01_07_19,1,"[2, 6, 3]",,,,,
01_07_20,2,"[4, 4, 3]","[4, 5, 2]",,,,
01_07_21,1,"[3, 6, 5]",,,,,
01_07_22,1,"[4, 5, 4]",,,,,
01_07_23,1,"[3, 6, 5]",,,,,
01_07_24,1,"[4, 5, 3]",,,,,
01_07_25,2,"[4, 4, 3]","[4, 5, 2]",,,,
01_07_26,1,"[3, 5, 3]",,,,,
01_08_09,1,"[3, 0, 5]",,,,,
01_08_10,1,"[1, 12, 6]",,,,,
01_08_11,1,"[4, 0, 3]",,,,,
01_08_12,1,"[1, 10, 6]",,,,,
01_08_13,1,"[1, 12, 4]",,,,,
01_08_14,1,"[3, 0, 4]",,,,,
01_08_15,1,"[2, 8, -1]",,,,,
01_08_16,1,"[0, 18, 6]",,,,,
01_08_17,1,"[1, 8, 8]",,,,,
01_08_18,1,"[2, 9, 4]",,,,,
01_08_19,1,"[1, 16, 4]",,,,,
01_08_20,1,"[4, 0, 3]",,,,,
01_08_21,1,"[1, 12, 6]",,,,,
01_08_22,1,"[3, 0, 6]",,,,,
01_08_23,1,"[1, 16, 5]",,,,,
01_08_24,1,"[2, 6, 4]",,,,,
01_08_25,1,"[3, 2, 3]",,,,,
01_08_26,1,"[2, 6, 4]",,,,,
01_09_10,1,"[3, 5, 4]",,,,,
01_09_11,1,"[3, 5, 3]",,,,,
01_09_12,1,"[3, 5, 3]",,,,,
01_09_13,1,"[4, 4, 4]",,,,,
01_09_14,1,"[3, 5, 4]",,,,,
01_09_15,1,"[4, 4, -2]",,,,,
01_09_16,1,"[3, 5, 0]",,,,,
01_09_17,1,"[3, 5, 0]",,,,,
01_09_18,1,"[3, 5, 2]",,,,,
01_09_19,1,"[3, 5, 0]",,,,,
01_09_20,1,"[4, 4, 3]",,,,,
01_09_21,1,"[3, 5, 6]",,,,,
01_09_22,1,"[3, 5, 5]",,,,,
01_09_23,1,"[4, 4, 4]",,,,,
01_09_24,1,"[3, 5, 3]",,,,,
01_09_25,1,"[3, 5, 3]",,,,,
01_09_26,1,"[2, 5, 4]",,,,,
01_10_11,1,"[4, 3, 3]",,,,,
01_10_12,1,"[3, 5, 5]",,,,,
01_10_13,1,"[2, 6, 4]",,,,,
01_10_14,1,"[3, 5, 3]",,,,,
01_10_15,3,"[4, 3, -3]","[4, 4, -4]","[4, 2, -2]",,,
01_10_16,1,"[2, 5, 4]",,,,,
01_10_17,1,"[3, 5, 0]",,,,,
01_10_18,1,"[3, 5, 3]",,,,,
01_10_19,1,"[2, 5, 3]",,,,,
01_10_20,1,"[3, 5, 3]",,,,,
01_10_21,2,"[1, 6, 8]","[2, 6, 7]",,,,
01_10_22,1,"[3, 5, 5]",,,,,
01_10_23,1,"[3, 5, 5]",,,,,
01_10_24,2,"[2, 5, 4]","[3, 4, 4]",,,,
01_10_25,3,"[2, 5, 3]","[3, 4, 3]","[4, 3, 3]",,,
01_10_26,2,"[3, 4, 4]","[3, 5, 3]",,,,
01_11_12,1,"[3, 3, 5]",,,,,
01_11_13,1,"[4, 3, 2]",,,,,
01_11_14,1,"[4, 3, 3]",,,,,
01_11_15,1,"[3, 3, -1]",,,,,
01_11_16,1,"[4, 3, 0]",,,,,
01_11_17,1,"[3, 3, 4]",,,,,
01_11_18,1,"[4, 3, 2]",,,,,
01_11_19,1,"[3, 3, 2]",,,,,
01_11_20,1,"[4, 2, 2]",,,,,
01_11_21,1,"[4, 3, 5]",,,,,
01_11_22,1,"[4, 3, 5]",,,,,
01_11_23,1,"[4, 3, 3]",,,,,
01_11_24,1,"[3, 3, 4]",,,,,
01_11_25,1,"[4, 3, 3]",,,,,
01_11_26,1,"[3, 3, 4]",,,,,
01_12_13,1,"[3, 5, 4]",,,,,
01_12_14,1,"[3, 4, 3]",,,,,
01_12_15,1,"[3, 5, -2]",,,,,
01_12_16,1,"[2, 6, 4]",,,,,
01_12_17,1,"[2, 5, 4]",,,,,
01_12_18,1,"[3, 4, 3]",,,,,
01_12_19,1,"[2, 5, 2]",,,,,
01_12_20,1,"[4, 2, 3]",,,,,
01_12_21,1,"[2, 6, 7]",,,,,
01_12_22,1,"[3, 3, 5]",,,,,
01_12_23,1,"[3, 5, 4]",,,,,
01_12_24,1,"[3, 5, 4]",,,,,
01_12_25,1,"[3, 4, 3]",,,,,
01_12_26,2,"[3, 4, 3]","[3, 3, 4]",,,,
01_13_14,1,"[3, 4, 3]",,,,,
01_13_15,2,"[4, 3, -3]","[4, 2, -2]",,,,
01_13_16,1,"[3, 4, 2]",,,,,
01_13_17,1,"[3, 4, 1]",,,,,
01_13_18,1,"[3, 4, 2]",,,,,
01_13_19,1,"[2, 4, 2]",,,,,
01_13_20,1,"[4, 4, 1]",,,,,
01_13_21,1,"[1, 5, 8]",,,,,
01_13_22,1,"[4, 4, 3]",,,,,
01_13_23,1,"[4, 4, 4]",,,,,
01_13_24,1,"[4, 4, 3]",,,,,
01_13_25,1,"[4, 3, 3]",,,,,
01_13_26,1,"[2, 4, 4]",,,,,
01_14_15,1,"[4, 3, -2]",,,,,
01_14_16,1,"[3, 4, 0]",,,,,
01_14_17,1,"[3, 4, 0]",,,,,
01_14_18,2,"[3, 4, 2]","[3, 3, 3]",,,,
01_14_19,1,"[3, 4, 0]",,,,,
01_14_20,2,"[4, 3, 2]","[4, 2, 3]",,,,
01_14_21,1,"[3, 4, 6]",,,,,
01_14_22,1,"[2, 4, 6]",,,,,
01_14_23,1,"[4, 3, 4]",,,,,
01_14_24,1,"[3, 3, 4]",,,,,
01_14_25,1,"[3, 4, 3]",,,,,
01_14_26,1,"[2, 4, 4]",,,,,
01_15_16,1,"[2, -1, 5]",,,,,
01_15_17,1,"[3, -1, 2]",,,,,
01_15_18,1,"[3, -1, 3]",,,,,
01_15_19,1,"[2, -1, 3]",,,,,
01_15_20,2,"[4, -2, 2]","[4, -3, 3]",,,,
01_15_21,1,"[3, -1, 6]",,,,,
01_15_22,1,"[3, -1, 5]",,,,,
01_15_23,1,"[2, -1, 5]",,,,,
01_15_24,1,"[3, -2, 4]",,,,,
01_15_25,1,"[3, -1, 3]",,,,,
01_15_26,1,"[3, -1, 3]",,,,,
01_16_17,1,"[1, 3, 6]",,,,,
01_16_18,1,"[2, 3, 4]",,,,,
01_16_19,1,"[1, 5, 3]",,,,,
01_16_20,1,"[4, 0, 3]",,,,,
01_16_21,1,"[0, 7, 8]",,,,,
01_16_22,1,"[3, 0, 6]",,,,,
01_16_23,1,"[3, 3, 5]",,,,,
01_16_24,1,"[2, 4, 4]",,,,,
01_16_25,1,"[3, 2, 3]",,,,,
01_16_26,1,"[3, 2, 4]",,,,,
01_17_18,1,"[1, 8, 4]",,,,,
01_17_19,1,"[1, 8, 4]",,,,,
01_17_20,1,"[4, 0, 3]",,,,,
01_17_21,1,"[2, 4, 5]",,,,,
01_17_22,1,"[3, 0, 6]",,,,,
01_17_23,1,"[3, 2, 5]",,,,,
01_17_24,1,"[3, 2, 4]",,,,,
01_17_25,2,"[2, 4, 3]","[3, 2, 3]",,,,
01_17_26,2,"[2, 4, 4]","[3, 2, 4]",,,,
01_18_19,2,"[1, 4, 4]","[2, 4, 3]",,,,
01_18_20,1,"[4, 2, 2]",,,,,
01_18_21,1,"[3, 3, 5]",,,,,
01_18_22,2,"[3, 3, 5]","[4, 2, 5]",,,,
01_18_23,1,"[3, 4, 5]",,,,,
01_18_24,1,"[3, 3, 4]",,,,,
01_18_25,2,"[3, 3, 3]","[4, 2, 3]",,,,
01_18_26,1,"[3, 2, 4]",,,,,
01_19_20,1,"[4, 0, 3]",,,,,
01_19_21,1,"[2, 2, 5]",,,,,
01_19_22,1,"[3, 0, 6]",,,,,
01_19_23,1,"[2, 3, 5]",,,,,
01_19_24,1,"[3, 1, 4]",,,,,
01_19_25,1,"[3, 1, 3]",,,,,
01_19_26,1,"[3, 1, 4]",,,,,
01_20_21,1,"[4, 2, 5]",,,,,
01_20_22,1,"[4, 2, 4]",,,,,
01_20_23,1,"[4, 3, 4]",,,,,
01_20_24,2,"[4, 2, 3]","[4, 3, 2]",,,,
01_20_25,1,"[4, 2, 3]",,,,,
01_20_26,2,"[4, 3, 2]","[4, 2, 3]",,,,
01_21_22,1,"[3, 6, 6]",,,,,
01_21_23,1,"[3, 5, 5]",,,,,
01_21_24,1,"[2, 7, 5]",,,,,
01_21_25,1,"[4, 5, 3]",,,,,
01_21_26,1,"[3, 6, 4]",,,,,
01_22_23,1,"[4, 4, 4]",,,,,
01_22_24,1,"[3, 5, 3]",,,,,
01_22_25,1,"[4, 5, 3]",,,,,
01_22_26,1,"[3, 6, 4]",,,,,
01_23_24,1,"[4, 4, 3]",,,,,
01_23_25,1,"[4, 3, 3]",,,,,
01_23_26,2,"[3, 4, 3]","[4, 3, 3]",,,,
01_24_25,1,"[3, 4, 3]",,,,,
01_24_26,1,"[3, 3, 4]",,,,,
01_25_26,1,"[3, 3, 4]",,,,,
02_03_04,2,"[2, 4, 0]","[3, 3, 0]",,,,
02_03_05,1,"[2, 4, 11]",,,,,
02_03_06,1,"[3, 2, 11]",,,,,
02_03_07,2,"[3, 2, 6]","[4, 1, 6]",,,,
02_03_08,1,"[0, 5, 12]",,,,,
02_03_09,1,"[2, 3, 4]",,,,,
02_03_10,1,"[2, 4, 5]",,,,,
02_03_11,1,"[2, 4, 3]",,,,,
02_03_12,1,"[1, 5, 6]",,,,,
02_03_13,1,"[1, 5, 4]",,,,,
02_03_14,1,"[2, 3, 3]",,,,,
02_03_15,1,"[3, 2, -1]",,,,,
02_03_16,1,"[0, 5, 7]",,,,,
02_03_17,1,"[0, 4, 6]",,,,,
02_03_18,1,"[4, 1, 4]",,,,,
02_03_19,1,"[0, 4, 3]",,,,,
02_03_20,1,"[2, 4, 2]",,,,,
02_03_21,1,"[1, 5, 8]",,,,,
02_03_22,1,"[3, 3, 3]",,,,,
02_03_23,2,"[3, 2, 5]","[4, 1, 5]",,,,
02_03_24,1,"[2, 4, 4]",,,,,
02_03_25,1,"[3, 2, 3]",,,,,
02_03_26,1,"[2, 3, 3]",,,,,
02_04_05,1,"[4, 0, 11]",,,,,
02_04_06,1,"[3, 0, 11]",,,,,
02_04_07,1,"[4, 0, 6]",,,,,
02_04_08,1,"[4, 0, 6]",,,,,
02_04_09,2,"[2, 0, 5]","[3, 0, 4]",,,,
02_04_10,1,"[3, 0, 5]",,,,,
02_04_11,1,"[3, 0, 3]",,,,,
02_04_12,1,"[3, 0, 4]",,,,,
02_04_13,1,"[3, 0, 4]",,,,,
02_04_14,1,"[2, 0, 4]",,,,,
02_04_15,1,"[3, 0, -1]",,,,,
02_04_16,2,"[3, 0, 4]","[4, 0, 3]",,,,
02_04_17,1,"[3, 0, 4]",,,,,
02_04_18,1,"[4, 0, 4]",,,,,
02_04_19,1,"[4, 0, 2]",,,,,
02_04_20,1,"[4, 0, 2]",,,,,
02_04_21,1,"[3, 0, 6]",,,,,
02_04_22,1,"[3, 0, 5]",,,,,
02_04_23,1,"[4, 0, 5]",,,,,
02_04_24,1,"[3, 0, 4]",,,,,
02_04_25,1,"[3, 0, 3]",,,,,
02_04_26,2,"[2, 0, 4]","[3, 0, 3]",,,,
02_05_06,1,"[3, 11, 11]",,,,,
02_05_07,1,"[3, 11, 6]",,,,,
02_05_08,1,"[4, 11, 6]",,,,,
02_05_09,1,"[4, 11, 2]",,,,,
02_05_10,1,"[4, 11, 3]",,,,,
02_05_11,1,"[4, 11, 0]",,,,,
02_05_12,1,"[4, 11, 1]",,,,,
02_05_13,1,"[4, 11, 2]",,,,,
02_05_14,1,"[2, 11, 4]",,,,,
02_05_15,1,"[3, 11, -1]",,,,,
02_05_16,2,"[3, 11, 4]","[4, 11, 3]",,,,
02_05_17,1,"[4, 11, 0]",,,,,
02_05_18,1,"[4, 11, 4]",,,,,
02_05_19,1,"[4, 11, 2]",,,,,
02_05_20,1,"[3, 11, 2]",,,,,
02_05_21,1,"[3, 11, 6]",,,,,
02_05_22,1,"[4, 11, 3]",,,,,
02_05_23,1,"[4, 11, 5]",,,,,
02_05_24,1,"[4, 11, 1]",,,,,
02_05_25,1,"[4, 11, 1]",,,,,
02_05_26,1,"[4, 11, 2]",,,,,
02_06_07,1,"[3, 11, 6]",,,,,
02_06_08,1,"[1, 11, 8]",,,,,
02_06_09,1,"[3, 11, 2]",,,,,
02_06_10,1,"[3, 11, 5]",,,,,
02_06_11,1,"[3, 11, 1]",,,,,
02_06_12,1,"[3, 11, 2]",,,,,
02_06_13,2,"[2, 11, 4]","[3, 11, 3]",,,,
02_06_14,2,"[2, 11, 3]","[3, 11, 2]",,,,
02_06_15,1,"[3, 11, -3]",,,,,
02_06_16,2,"[2, 11, 4]","[3, 11, 3]",,,,
02_06_17,1,"[3, 11, 1]",,,,,
02_06_18,1,"[4, 9, 4]",,,,,
02_06_19,1,"[0, 11, 3]",,,,,
02_06_20,1,"[3, 11, 2]",,,,,
02_06_21,1,"[3, 11, 6]",,,,,
02_06_22,1,"[3, 9, 4]",,,,,
02_06_23,1,"[3, 11, 5]",,,,,
02_06_24,1,"[3, 11, 2]",,,,,
02_06_25,1,"[3, 10, 2]",,,,,
02_06_26,1,"[4, 9, 2]",,,,,
02_07_08,1,"[4, 6, 4]",,,,,
02_07_09,2,"[4, 6, 2]","[3, 6, 3]",,,,
02_07_10,1,"[4, 6, 4]",,,,,
02_07_11,1,"[3, 6, 2]",,,,,
02_07_12,1,"[4, 6, 1]",,,,,
02_07_13,1,"[3, 6, 3]",,,,,
02_07_14,1,"[4, 6, 2]",,,,,
02_07_15,1,"[3, 6, -2]",,,,,
02_07_16,1,"[3, 6, 3]",,,,,
02_07_17,1,"[4, 6, 2]",,,,,
02_07_18,1,"[4, 6, 4]",,,,,
02_07_19,1,"[4, 6, 2]",,,,,
02_07_20,1,"[3, 6, 2]",,,,,
02_07_21,1,"[3, 6, 6]",,,,,
02_07_22,1,"[4, 6, 3]",,,,,
02_07_23,1,"[4, 6, 5]",,,,,
02_07_24,1,"[4, 6, 1]",,,,,
02_07_25,1,"[4, 6, 1]",,,,,
02_07_26,1,"[4, 6, 2]",,,,,
02_08_09,1,"[4, 4, 3]",,,,,
02_08_10,1,"[0, 16, 6]",,,,,
02_08_11,1,"[0, 9, 3]",,,,,
02_08_12,1,"[0, 10, 6]",,,,,
02_08_13,1,"[0, 10, 5]",,,,,
02_08_14,1,"[1, 6, 3]",,,,,
02_08_15,1,"[1, 8, -1]",,,,,
02_08_16,2,"[0, 20, 5]","[0, 18, 6]",,,,
02_08_17,1,"[0, 12, 8]",,,,,
02_08_18,2,"[0, 16, 4]","[4, 6, 4]",,,,
02_08_19,1,"[0, 20, 4]",,,,,
02_08_20,1,"[4, 6, 2]",,,,,
02_08_21,1,"[0, 14, 7]",,,,,
02_08_22,1,"[1, 6, 5]",,,,,
02_08_23,1,"[4, 6, 5]",,,,,
02_08_24,1,"[0, 12, 4]",,,,,
02_08_25,1,"[1, 6, 3]",,,,,
02_08_26,1,"[1, 6, 4]",,,,,
02_09_10,2,"[2, 4, 5]","[3, 3, 5]",,,,
02_09_11,1,"[3, 4, 3]",,,,,
02_09_12,1,"[2, 4, 4]",,,,,
02_09_13,1,"[2, 4, 4]",,,,,
02_09_14,1,"[2, 5, 4]",,,,,
02_09_15,1,"[3, 4, -2]",,,,,
02_09_16,1,"[3, 3, 3]",,,,,
02_09_17,1,"[3, 4, 2]",,,,,
02_09_18,1,"[4, 3, 4]",,,,,
02_09_19,1,"[4, 3, 2]",,,,,
02_09_20,1,"[3, 4, 2]",,,,,
02_09_21,1,"[2, 5, 6]",,,,,
02_09_22,1,"[2, 5, 5]",,,,,
02_09_23,1,"[4, 3, 5]",,,,,
02_09_24,1,"[2, 4, 4]",,,,,
02_09_25,2,"[2, 5, 3]","[3, 4, 3]",,,,
02_09_26,1,"[1, 5, 4]",,,,,
02_10_11,1,"[3, 4, 2]",,,,,
02_10_12,1,"[2, 5, 5]",,,,,
02_10_13,1,"[1, 6, 4]",,,,,
02_10_14,1,"[3, 5, 3]",,,,,
02_10_15,2,"[4, 3, -3]","[4, 4, -4]",,,,
02_10_16,2,"[1, 5, 5]","[2, 5, 4]",,,,
02_10_17,1,"[2, 5, 2]",,,,,
02_10_18,1,"[4, 4, 4]",,,,,
02_10_19,1,"[1, 5, 3]",,,,,
02_10_20,1,"[2, 5, 3]",,,,,
02_10_21,1,"[0, 6, 8]",,,,,
02_10_22,1,"[3, 4, 5]",,,,,
02_10_23,1,"[3, 5, 5]",,,,,
02_10_24,1,"[1, 5, 4]",,,,,
02_10_25,2,"[2, 5, 3]","[3, 4, 3]",,,,
02_10_26,1,"[2, 5, 3]",,,,,
02_11_12,1,"[2, 3, 5]",,,,,
02_11_13,1,"[3, 2, 3]",,,,,
02_11_14,1,"[3, 3, 3]",,,,,
02_11_15,1,"[2, 3, -1]",,,,,
02_11_16,1,"[0, 3, 4]",,,,,
02_11_17,2,"[1, 3, 6]","[2, 3, 4]",,,,
02_11_18,1,"[4, 1, 4]",,,,,
02_11_19,1,"[1, 3, 3]",,,,,
02_11_20,1,"[3, 2, 2]",,,,,
02_11_21,1,"[3, 3, 5]",,,,,
02_11_22,1,"[3, 3, 5]",,,,,
02_11_23,1,"[4, 1, 5]",,,,,
02_11_24,2,"[1, 3, 5]","[2, 3, 4]",,,,
02_11_25,1,"[3, 3, 3]",,,,,
02_11_26,1,"[2, 3, 4]",,,,,
02_12_13,1,"[1, 5, 4]",,,,,
02_12_14,1,"[2, 4, 3]",,,,,
02_12_15,1,"[3, 3, -1]",,,,,
02_12_16,1,"[0, 6, 5]",,,,,
02_12_17,1,"[0, 5, 6]",,,,,
02_12_18,1,"[4, 2, 4]",,,,,
02_12_19,1,"[0, 5, 3]",,,,,
02_12_20,1,"[2, 5, 2]",,,,,
02_12_21,1,"[1, 5, 8]",,,,,
02_12_22,1,"[3, 3, 4]",,,,,
02_12_23,1,"[4, 2, 5]",,,,,
02_12_24,1,"[2, 5, 4]",,,,,
02_12_25,1,"[3, 3, 3]",,,,,
02_12_26,1,"[3, 4, 2]",,,,,
02_13_14,2,"[2, 4, 3]","[3, 3, 3]",,,,
02_13_15,1,"[4, 2, -3]",,,,,
02_13_16,1,"[3, 4, 3]",,,,,
02_13_17,1,"[3, 3, 2]",,,,,
02_13_18,1,"[4, 2, 4]",,,,,
02_13_19,1,"[3, 4, 2]",,,,,
02_13_20,1,"[3, 3, 2]",,,,,
02_13_21,1,"[1, 5, 8]",,,,,
02_13_22,1,"[1, 4, 6]",,,,,
02_13_23,1,"[3, 4, 5]",,,,,
02_13_24,1,"[2, 3, 4]",,,,,
02_13_25,1,"[3, 3, 3]",,,,,
02_13_26,1,"[1, 4, 4]",,,,,
02_14_15,1,"[3, 3, -2]",,,,,
02_14_16,1,"[3, 3, 3]",,,,,
02_14_17,1,"[3, 3, 2]",,,,,
02_14_18,1,"[4, 2, 4]",,,,,
02_14_19,1,"[4, 2, 2]",,,,,
02_14_20,2,"[2, 4, 2]","[3, 3, 2]",,,,
02_14_21,1,"[2, 4, 7]",,,,,
02_14_22,1,"[2, 4, 5]",,,,,
02_14_23,1,"[4, 2, 5]",,,,,
02_14_24,1,"[2, 3, 4]",,,,,
02_14_25,1,"[2, 4, 3]",,,,,
02_14_26,1,"[1, 4, 4]",,,,,
02_15_16,1,"[3, -1, 4]",,,,,
02_15_17,1,"[0, -1, 6]",,,,,
02_15_18,1,"[4, -3, 4]",,,,,
02_15_19,1,"[0, -1, 4]",,,,,
02_15_20,1,"[3, -1, 2]",,,,,
02_15_21,1,"[3, -1, 6]",,,,,
02_15_22,2,"[2, -1, 5]","[3, -2, 5]",,,,
02_15_23,1,"[4, -3, 5]",,,,,
02_15_24,1,"[3, -1, 3]",,,,,
02_15_25,1,"[3, -1, 3]",,,,,
02_15_26,3,"[2, -1, 3]","[3, -2, 3]","[3, -1, 2]",,,
